,taskid,duration
0,21250255,21.541666666666668
1,21286139,21.25
2,21228469,20.75
3,21262309,20.75
4,21228597,20.458333333333332
5,21235392,20.375
6,21296832,20.333333333333332
7,21296870,20.125
8,21156889,20.0
9,21289652,19.708333333333332
10,21296896,19.416666666666668
11,21296788,19.333333333333332
12,21085289,19.166666666666668
13,21084857,19.041666666666668
14,21296900,18.875
17,21283148,18.833333333333332
15,21296883,18.833333333333332
16,21186337,18.833333333333332
18,21283067,18.75
19,21296773,18.625
20,21296784,18.583333333333332
21,21296905,18.541666666666668
22,21084710,18.5
23,21296882,18.5
24,21296775,18.458333333333332
25,21296779,18.416666666666668
26,21187708,18.375
27,21296823,18.125
29,21296867,18.041666666666668
28,21166704,18.041666666666668
30,21146389,17.791666666666668
31,21098230,17.708333333333332
32,21296814,17.708333333333332
33,21296880,17.625
34,21273531,17.458333333333332
35,21264123,17.416666666666668
36,21176565,17.375
37,21296850,17.291666666666668
38,21258633,17.166666666666668
39,21156786,17.083333333333332
40,21296790,17.083333333333332
42,21288277,17.0
41,21231740,17.0
43,21263783,16.875
44,21082230,16.875
45,21285970,16.833333333333332
46,21296772,16.791666666666668
47,21296878,16.791666666666668
48,21084740,16.75
49,21296901,16.666666666666668
50,21263293,16.666666666666668
51,21296907,16.625
52,21231734,16.625
53,21258632,16.541666666666668
54,21085294,16.5
55,21264129,16.5
56,21084313,16.458333333333332
57,21262648,16.375
59,21157054,16.291666666666668
58,21262310,16.291666666666668
60,21263848,16.25
61,21265332,16.25
62,21136167,16.208333333333332
63,21251043,16.208333333333332
64,21084854,16.166666666666668
65,21192948,16.166666666666668
66,21316345,16.166666666666668
67,21285973,16.083333333333332
68,21296777,16.083333333333332
69,21283123,16.041666666666668
70,21296774,16.0
72,21288279,15.958333333333334
73,21085228,15.958333333333334
74,21288264,15.958333333333334
71,21296894,15.958333333333334
75,21157345,15.875
76,21084861,15.875
77,21257048,15.875
78,21176566,15.875
79,21194818,15.875
80,21098468,15.833333333333334
83,21258505,15.791666666666666
84,21262657,15.791666666666666
82,21288278,15.791666666666666
81,21084826,15.791666666666666
85,21084820,15.708333333333334
86,21085274,15.708333333333334
87,21296915,15.708333333333334
88,21085394,15.708333333333334
89,21084840,15.666666666666666
90,21085005,15.666666666666666
91,21219110,15.583333333333334
92,21084733,15.583333333333334
93,21084807,15.583333333333334
94,21265248,15.583333333333334
95,21296893,15.541666666666666
96,21296776,15.541666666666666
98,21296771,15.5
97,21296902,15.5
99,21296903,15.458333333333334
